url,title,status,processed_at,content_hash,file_path
https://velog.io/@euisuk-chung/TREND-Google-Cloud-2025-AI-business-trend,[TREND] Google Cloud 2025 AI business trend서쿠·어제팔로우1IT지식trend-review11. 멀티모달 AI: 맥락의 힘을 발휘2. AI 에이전트: 챗봇에서 다중 에이전트 시스템으로 진화3. AI 보조 검색(Assistive Search): 지식 작업의 새로운 프론티어4. AI 기반 고객 경험(CX): 매끄럽고 개인화된 경험5. AI를 통한 보안 강화결론IT지식목록 보기12/12,success,2024-12-21 17:33:17.618153,,
https://velog.io/@euisuk-chung/Day-12-introducing-o3-o3mini,[Day 12] introducing o3 and o3-mini서쿠·어제팔로우1OpenAIchatGPT11. OpenAI o3와 o3-mini 소개2. 벤치마크 결과 분석1) 소프트웨어 코딩 벤치마크 (SWE-bench)2) 수학 및 과학 벤치마크3) Research Math: EpochAI Frontier Math4) ARC Prize Foundation: 새로운 AGI 벤치마크3. o3-mini: 비용 효율성과 성능의 균형4. API 호출 관련 기능 성능 분석5. 새로운 기능: Deliberative Alignment맺음말12 Days of OpenAI목록 보기12/12,success,2024-12-21 17:33:36.389579,,
https://velog.io/@euisuk-chung/Day-11-ChatGPT-x-Desktop-Application,[Day 11] ChatGPT x Desktop Application 💻서쿠·어제팔로우2OpenAIchatGPT2데스크톱 앱을 통한 협력 🌟1. Work with Apps 기능2. 코딩 환경에서의 활용3. 문서 작업과의 연동4. 음성 상호작용 지원업데이트 요약 🚀맺음말 ✨12 Days of OpenAI목록 보기11/12,success,2024-12-21 17:33:56.182588,,
https://velog.io/@euisuk-chung/Day-10-1-800-CHAT-GPT-ChatGPT-talk-with-ChatGPT,[Day 10] 1-800-CHAT-GPT: ChatGPT랑 통화랑 문자를 할 수 있다고? 📞💬서쿠·2일 전팔로우1OpenAIchatGPT11-800-CHAT-GPT란?주요 업데이트 하이라이트 🌟1. 전화로 ChatGPT와 대화하기2. WhatsApp에서 ChatGPT와 채팅하기ChatGPT 전화/WhatsApp 서비스의 장점 🚀사용 방법 안내 📖1. 전화로 ChatGPT 사용하기2. WhatsApp에서 ChatGPT 사용하기기술적 한계와 앞으로의 발전 🌱맺음말 ✨12 Days of OpenAI목록 보기10/12,success,2024-12-21 17:34:10.001218,,
https://velog.io/@euisuk-chung/Day-9-OpenAI-o1-and-dev-tools,[Day 9] OpenAI o1 및 개발자를 위한 새로운 도구서쿠·3일 전팔로우2OpenAIchatGPT2OpenAI o1 및 개발자를 위한 새로운 도구 소개1. OpenAI o1: 새로운 고성능 추론 모델2. 실시간 API 개선3. Preference Fine-Tuning: 사용자 맞춤 모델 학습4. Go 및 Java SDK 베타 출시결론12 Days of OpenAI목록 보기9/12,success,2024-12-21 17:34:36.843693,,
https://velog.io/@euisuk-chung/Day-8-Introducing-ChatGPT-Search,[Day 8] Introducing ChatGPT Search서쿠·4일 전팔로우2OpenAIchapGPT2Search 기능의 주요 개선 사항Search 기능의 활용 방법1. 간편한 검색 시작2. 풍부한 시각적 결과 제공3. 대화형 검색4. 빠른 웹 네비게이션5. 음성 기반 검색Search 기능의 실제 활용 사례1. 이벤트 및 여행 계획2. 음식점 검색3. 영화 및 엔터테인먼트4. 실시간 위치 기반 검색Search 기능의 장점맺음말12 Days of OpenAI목록 보기8/12,success,2024-12-21 17:34:52.557739,,
https://velog.io/@euisuk-chung/Cursor-AI-AI기반-코드-편집기,[꿀팁] Cursor AI - AI 기반 코드 편집기서쿠·2024년 12월 14일팔로우5tools꿀팁5주요 특징주요 기능Cursor AI 설치 및 사용법Cursor AI를 잘 활용하는 방법사용자 경험과 프로젝트 예시결론꿀팁목록 보기9/9,success,2024-12-21 17:35:14.519727,,
https://velog.io/@euisuk-chung/Day-7-Introducing-Projects,[Day 7] Introducing Projects서쿠·2024년 12월 14일팔로우2OpenAIchatGPT2Projects란?Projects의 주요 기능Projects 사용 방법1. 새 프로젝트 생성2. 파일 업로드 및 지시사항 설정3. 기존 대화 추가4. 실시간 상호작용실제 활용 사례1. 비밀 산타 이벤트 프로젝트2. 홈 관리 프로젝트3. 개인 웹사이트 관리Projects의 장점참고(프로그램 비교)ChatGPT ProjectsCustom GPTsClaude Projects (Anthropic)차이점 요약맺음말12 Days of OpenAI목록 보기7/12,success,2024-12-21 17:35:29.625798,,
https://velog.io/@euisuk-chung/Day-6-Santa-Mode-Video-in-Advanced-Voice,[Day 6] Santa Mode & Video in Advanced Voice서쿠·2024년 12월 13일팔로우1OpenAIchatGPT1Santa Mode란?Santa Mode로 무엇을 할 수 있나요?Santa Mode 활성화 방법Advanced Voice의 Video 및 Screen Sharing 기능이 기능의 주요 장점Video 및 Screen Sharing 사용 방법Santa Mode와 Advanced Voice의 특별한 점Santa Mode의 장점Video 및 Screen Sharing의 혜택맺음말12 Days of OpenAI목록 보기6/12,success,2024-12-21 17:35:52.073935,,
https://velog.io/@euisuk-chung/Day-5-ChatGPT-x-Apple-Intelligence,[Day 5] ChatGPT x Apple Intelligence서쿠·2024년 12월 12일팔로우1OpenAIchatGPT1ChatGPT x Apple Intelligence란?활용 사례1. Siri와의 통합2. 문서 작성 및 요약 도구3. 카메라와 비주얼 인텔리전스4. MacOS에서의 통합 경험사용 방법맺음말12 Days of OpenAI목록 보기5/12,success,2024-12-21 17:36:07.297421,,
